specObjID,plateid,mjd,fiberid,ra,dec,z,sn_median,lgm_tot_p50
1.80E+18,1600,53090,548,159.8207,11.97682,0.09123654,13.48329,10.31693
2.51E+18,2227,53820,333,180.6359,28.27611,0.08012434,16.38398,10.47645
2.72E+18,2418,53794,590,121.0901,11.56718,0.09530547,21.45096,10.87255
9.95E+17,884,52374,130,187.035,51.36594,0.08791099,13.39482,10.51407
2.10E+18,1865,53312,334,110.9825,43.15731,0.1123458,12.4209,10.52051
9.50E+17,844,52378,524,184.7482,6.051929,0.09463784,11.96003,10.28777
1.59E+18,1408,52822,332,245.8425,28.08375,0.1145384,10.35423,10.49676
1.81E+18,1612,53149,53,183.8102,12.13477,0.15054,11.14528,10.82777
2.66E+18,2363,53763,372,148.7719,21.34515,0.0717117,15.0693,10.02025
7.32E+17,650,52143,235,359.49,-10.53394,0.08466908,18.01761,9.956729
2.95E+18,2618,54506,498,198.9183,20.02401,0.1118695,16.15955,10.80107
2.35E+18,2085,53379,166,132.9329,23.08838,0.2039278,11.55616,10.64563
1.94E+18,1726,53137,573,238.3455,9.635847,0.07042991,12.60921,9.814775
2.22E+18,1969,53383,592,160.1808,31.24988,0.05083986,7.538607,9.230766
3.45E+17,306,51637,264,217.4108,-0.02256616,0.08519468,11.97397,10.18334
1.89E+18,1680,53171,362,235.166,40.64793,0.0933888,12.20268,10.61586
1.62E+18,1442,53050,333,171.7367,47.77361,0.05272265,12.50849,9.583068
1.54E+18,1369,53089,534,181.4465,45.22093,0.06643542,13.07312,10.17198
1.53E+18,1361,53047,356,158.6806,42.34139,0.0661763,20.19146,10.47288
1.45E+18,1288,52731,204,217.9224,43.84041,0.03544674,11.02375,9.36879
5.30E+17,471,51924,532,137.5786,2.188613,0.09994122,23.13609,11.05862
4.78E+17,424,51893,440,20.17747,14.6764,0.03489407,26.33833,9.744013
5.22E+17,464,51908,67,60.09495,-6.624375,0.04081289,6.808496,9.591235
1.88E+18,1667,53430,163,199.3491,50.95344,0.03167241,11.56254,9.511301
1.56E+18,1381,53089,561,217.6625,38.80745,0.05599472,11.34969,9.886458
